"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;2415;"nonmover";"adult";"united states";">50k";50;"husband"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";17;"own child"
"private";"some college but no degree";"married civilian spouse present";"protective services";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"other relative"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";7688;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"prof school degree (md dds dvm llb jd)";"divorced";"professional specialty";"white";"male";"children or armed forces";0;2824;"nonmover";"adult";"united states";">50k";46;"husband"
"private";"10th grade";"never married";"sales";"white";"female";"children or armed forces";0;0;"new mexico";"adult";"united states";"<=50k";24;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";31;"wife"
"private";"high school graduate";"divorced";"executive admin and managerial";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";55;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";22;"husband"
"local government";"masters degree(ma ms meng med msw mba)";"divorced";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"state government";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";43;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"farming forestry and fishing";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";69;"wife"
"private";"some college but no degree";"married civilian spouse present";"sales";"other";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"husband"
"private";"high school graduate";"divorced";"adm support including clerical";"white";"male";"children or armed forces";3887;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"11th grade";"separated";"precision production craft & repair";"white";"male";"children or armed forces";2907;0;"new hampshire";"adult";"united states";"<=50k";26;"other relative"
"state government";"high school graduate";"never married";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"unmarried"
"private";"high school graduate";"divorced";"machine operators assmblrs & inspctrs";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"self employed not incorporated";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";46;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";48;"wife"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";52;"wife"
"private";"some college but no degree";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"wife"
"private";"less than 1st grade";"married civilian spouse present";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";58;"husband"
"private";"some college but no degree";"divorced";"handlers equip cleaners etc";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";63;"unmarried"
"state government";"10th grade";"separated";"other service";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";62;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"sales";"white";"male";"full time schedules";5178;0;"nonmover";"adult";"united states";">50k";48;"husband"
"private";"high school graduate";"never married";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";18;"unmarried"
"private";"high school graduate";"married civilian spouse present";"transportation and material moving";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";30;"wife"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";43;"wife"
"private";"some college but no degree";"never married";"adm support including clerical";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";;"<=50k";24;"other relative"
"state government";"some college but no degree";"married civilian spouse present";"protective services";"black";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";28;"husband"
"self employed incorporated";"high school graduate";"married civilian spouse present";"executive admin and managerial";"white";"male";"pt for econ reasons usually pt";0;0;"nonmover";"adult";"united states";"<=50k";53;"husband"
"private";"associates degree academic program";"widowed";"technicians and related support";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"private";"high school graduate";"married civilian spouse present";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";28;"wife"
"local government";"associates degree academic program";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";35;"husband"
"self employed incorporated";"some college but no degree";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"private";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";45;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";45;"wife"
"private";"5th or 6th grade";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"mexico";"<=50k";20;"other relative"
"federal government";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"state government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"asian or pacific islander";"female";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";36;"wife"
"private";"7th and 8th grade";"separated";"other service";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";25;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"sales";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";66;"husband"
